2026-07-30 00:11:16.068 | DEBUG    | __main__:check_subprocess:524 - FFmpeg输入源: http://pull-flv-l11.douyincdn.com/stage/stream-696272795256750225_Stage0T000sd.flv?expire=1785946275&sign=f48ab0d4de850f35a8a57c22702702ed&arch_hrchy=w1&exp_hrchy=w1&major_anchor_level=common&unique_id=stream-696272795256750225_145_flv_Stage0T000sd&t_id=037-202607300011142F1D23B17B1B5FB8004A-vurV7c
2026-07-30 00:11:16.069 | DEBUG    | __main__:check_subprocess:525 - FFmpeg完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/别捏七七/2026-07-30_00-11/别捏七七_2026-07-30_00-11-16_segments.ts.ffmpeg.log
2026-07-30 00:11:17.073 | ERROR    | __main__:check_subprocess:639 - 序号5 别捏七七 FFmpeg录制失败，返回码: -11 (signal 11: SIGSEGV)，完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/别捏七七/2026-07-30_00-11/别捏七七_2026-07-30_00-11-16_segments.ts.ffmpeg.log
2026-07-30 00:15:27.431 | DEBUG    | __main__:check_subprocess:524 - FFmpeg输入源: http://pull-flv-l11.douyincdn.com/stage/stream-696272795256750225_Stage0T000sd.flv?expire=1785946526&sign=e2e06951f6e9dd26e14bcdb449ff6340&exp_hrchy=w1&arch_hrchy=w1&major_anchor_level=common&unique_id=stream-696272795256750225_145_flv_Stage0T000sd&t_id=037-20260730001526C0F0C224E6343D8DB42E-xUMgJY
2026-07-30 00:15:27.431 | DEBUG    | __main__:check_subprocess:525 - FFmpeg完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/别捏七七/2026-07-30_00-15/别捏七七_2026-07-30_00-15-27_segments.ts.ffmpeg.log
2026-07-30 00:15:28.436 | ERROR    | __main__:check_subprocess:639 - 序号5 别捏七七 FFmpeg录制失败，返回码: -11 (signal 11: SIGSEGV)，完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/别捏七七/2026-07-30_00-15/别捏七七_2026-07-30_00-15-27_segments.ts.ffmpeg.log
2026-07-30 00:20:31.600 | DEBUG    | __main__:check_subprocess:524 - FFmpeg输入源: http://pull-flv-l11.douyincdn.com/stage/stream-696272795256750225_Stage0T000sd.flv?expire=1785946830&sign=831f58d0d35460133f945a1cdb689cf1&arch_hrchy=w1&exp_hrchy=w1&major_anchor_level=common&unique_id=stream-696272795256750225_145_flv_Stage0T000sd&t_id=037-20260730002030E9FCD28756E12520AE3D-hoUi4U
2026-07-30 00:20:31.601 | DEBUG    | __main__:check_subprocess:525 - FFmpeg完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/别捏七七/2026-07-30_00-15/别捏七七_2026-07-30_00-20-31_segments.ts.ffmpeg.log
2026-07-30 00:20:32.605 | ERROR    | __main__:check_subprocess:639 - 序号5 别捏七七 FFmpeg录制失败，返回码: -11 (signal 11: SIGSEGV)，完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/别捏七七/2026-07-30_00-15/别捏七七_2026-07-30_00-20-31_segments.ts.ffmpeg.log
2026-07-30 00:25:27.354 | DEBUG    | __main__:start_record:1344 - 抖音直播使用HLS源录制TS，避免FLV输入兼容性问题
2026-07-30 00:25:27.355 | DEBUG    | __main__:check_subprocess:525 - FFmpeg输入源: http://pull-hls-q26.douyincdn.com/stage/stream-119812067115664188_Stage0T000ld.m3u8?expire=6a7363f7&sign=a9ae77d028f683de5e18e0be83d811bc&arch_hrchy=h1&exp_hrchy=h1&major_anchor_level=common&t_id=037-202607300025275140370BFDBF23A7AF43-ji0GCa
2026-07-30 00:25:27.355 | DEBUG    | __main__:check_subprocess:526 - FFmpeg完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/别捏七七/2026-07-30_00-25/别捏七七_2026-07-30_00-25-27_segments.ts.ffmpeg.log
2026-07-30 00:25:28.360 | ERROR    | __main__:check_subprocess:640 - 序号6 别捏七七 FFmpeg录制失败，返回码: -11 (signal 11: SIGSEGV)，完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/别捏七七/2026-07-30_00-25/别捏七七_2026-07-30_00-25-27_segments.ts.ffmpeg.log
2026-07-30 00:26:22.789 | DEBUG    | __main__:start_record:1344 - 抖音直播使用HLS源录制TS，避免FLV输入兼容性问题
2026-07-30 00:26:22.791 | DEBUG    | __main__:check_subprocess:525 - FFmpeg输入源: http://pull-hls-q26.douyincdn.com/stage/stream-119812067115664188_Stage0T000ld.m3u8?expire=6a73642e&sign=e377685280451f4e51158fa7044741f0&arch_hrchy=h1&exp_hrchy=h1&major_anchor_level=common&t_id=037-2026073000262295EABF20C1F2B181773D-hDdfn1
2026-07-30 00:26:22.791 | DEBUG    | __main__:check_subprocess:526 - FFmpeg完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/别捏七七/2026-07-30_00-26/别捏七七_2026-07-30_00-26-22_segments.ts.ffmpeg.log
2026-07-30 00:26:23.796 | ERROR    | __main__:check_subprocess:640 - 序号5 别捏七七 FFmpeg录制失败，返回码: -11 (signal 11: SIGSEGV)，完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/别捏七七/2026-07-30_00-26/别捏七七_2026-07-30_00-26-22_segments.ts.ffmpeg.log
2026-07-30 00:31:28.203 | DEBUG    | __main__:start_record:1344 - 抖音直播使用HLS源录制TS，避免FLV输入兼容性问题
2026-07-30 00:31:28.205 | DEBUG    | __main__:check_subprocess:525 - FFmpeg输入源: http://pull-hls-q26.douyincdn.com/stage/stream-119812067115664188_Stage0T000ld.m3u8?expire=6a736560&sign=6f4de67f6228d1b9d78ccb0cec82f490&exp_hrchy=h1&arch_hrchy=h1&major_anchor_level=common&t_id=037-2026073000312757456004132511A79CFF-ng5gyu
2026-07-30 00:31:28.206 | DEBUG    | __main__:check_subprocess:526 - FFmpeg完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/别捏七七/2026-07-30_00-26/别捏七七_2026-07-30_00-31-28_segments.ts.ffmpeg.log
2026-07-30 00:31:29.211 | ERROR    | __main__:check_subprocess:640 - 序号5 别捏七七 FFmpeg录制失败，返回码: -11 (signal 11: SIGSEGV)，完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/别捏七七/2026-07-30_00-26/别捏七七_2026-07-30_00-31-28_segments.ts.ffmpeg.log
2026-07-30 00:32:56.849 | DEBUG    | __main__:start_record:1344 - 抖音直播使用HLS源录制TS，避免FLV输入兼容性问题
2026-07-30 00:32:56.850 | DEBUG    | __main__:check_subprocess:525 - FFmpeg输入源: http://pull-hls-q26.douyincdn.com/stage/stream-119812067115664188_Stage0T000ld.m3u8?expire=6a7365b8&sign=25d0dda2470faa64a4eb155efb0123cf&exp_hrchy=h1&arch_hrchy=h1&major_anchor_level=common&t_id=037-202607300032569E792F3689FD82D38056-HU9vwv
2026-07-30 00:32:56.850 | DEBUG    | __main__:check_subprocess:526 - FFmpeg完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/别捏七七/2026-07-30_00-32/别捏七七_2026-07-30_00-32-56_segments.ts.ffmpeg.log
2026-07-30 00:32:57.856 | ERROR    | __main__:check_subprocess:640 - 序号5 别捏七七 FFmpeg录制失败，返回码: -11 (signal 11: SIGSEGV)，完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/别捏七七/2026-07-30_00-32/别捏七七_2026-07-30_00-32-56_segments.ts.ffmpeg.log
2026-07-30 00:38:01.295 | DEBUG    | __main__:start_record:1344 - 抖音直播使用HLS源录制TS，避免FLV输入兼容性问题
2026-07-30 00:38:01.302 | DEBUG    | __main__:check_subprocess:525 - FFmpeg输入源: http://pull-hls-q26.douyincdn.com/stage/stream-119812067115664188_Stage0T000ld.m3u8?expire=6a7366e9&sign=7bc3cebc9e8224b920770fe95abc185e&arch_hrchy=h1&exp_hrchy=h1&major_anchor_level=common&t_id=037-20260730003800038557EF35A745078AB8-Z4f3jA
2026-07-30 00:38:01.303 | DEBUG    | __main__:check_subprocess:526 - FFmpeg完整日志: /home/ubuntu/DouyinLiveRecorder-main/downloads/抖音直播/别捏七七/2026-07-30_00-32/别捏七七_2026-07-30_00-38-01_segments.ts.ffmpeg.log
